DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
08-Apr-2026,EQ,"800.00","817.80","796.00","772.00","817.50","816.10","809.87","2,037.70","726.65",70269512,"56,90,93,58,152.40",561769
07-Apr-2026,EQ,"766.00","774.00","761.00","771.00","772.40","772.00","768.18","2,037.70","726.65",51309793,"39,41,50,68,155.95",777553
06-Apr-2026,EQ,"759.00","772.75","745.00","750.90","770.90","771.00","759.21","2,037.70","726.65",42976659,"32,62,81,40,429.95",626168
02-Apr-2026,EQ,"730.00","755.00","726.65","742.25","751.00","750.90","740.56","2,037.70","726.65",49310300,"36,51,71,73,048.10",618264
01-Apr-2026,EQ,"743.00","755.90","739.10","731.55","744.00","742.25","745.52","2,037.70","726.65",78862761,"58,79,41,04,725.50",617196
30-Mar-2026,EQ,"745.20","751.00","726.65","756.20","735.00","731.55","737.88","2,037.70","726.65",103500135,"76,37,01,80,749.45",787374
27-Mar-2026,EQ,"773.20","774.90","754.55","782.30","757.95","756.20","761.30","2,037.70","741.05",65485199,"49,85,36,60,404.55",699107
25-Mar-2026,EQ,"768.20","794.80","768.20","764.90","780.10","782.30","785.22","2,037.70","741.05",59230640,"46,50,89,23,123.65",628380
24-Mar-2026,EQ,"755.00","772.75","747.70","744.15","766.50","764.90","761.63","2,037.70","741.05",61269986,"46,66,53,56,241.25",626314
23-Mar-2026,EQ,"763.15","768.70","741.05","780.45","742.30","744.15","752.37","2,037.70","741.05",72341738,"54,42,75,19,734.60",872248
20-Mar-2026,EQ,"785.00","793.75","778.20","798.20","781.00","780.45","784.12","2,037.70","770.00",103129469,"80,86,58,60,514.30",963682
19-Mar-2026,EQ,"770.00","815.65","770.00","843.05","800.00","798.20","801.78","2,037.70","770.00",171637393,"1,37,61,50,84,047.35",1439390
18-Mar-2026,EQ,"845.35","846.80","831.60","845.35","842.00","843.05","840.38","2,037.70","812.00",23507063,"19,75,49,16,389.35",294181
17-Mar-2026,EQ,"847.70","848.90","835.10","840.60","842.80","845.35","843.42","2,037.70","812.00",38826979,"32,74,75,78,708.05",457590
16-Mar-2026,EQ,"817.00","844.50","815.65","817.00","838.80","840.60","832.00","2,037.70","812.00",52182605,"43,41,59,02,026.80",497371
13-Mar-2026,EQ,"820.00","823.80","812.00","832.75","816.70","817.00","817.73","2,037.70","812.00",41700464,"34,09,98,71,018.10",542628
12-Mar-2026,EQ,"820.10","836.40","820.10","833.95","833.30","832.75","831.86","2,037.70","820.10",46107561,"38,35,49,69,893.00",683178
11-Mar-2026,EQ,"845.00","848.85","827.60","849.45","834.40","833.95","834.32","2,037.70","821.50",42261076,"35,25,93,18,337.50",580385
10-Mar-2026,EQ,"850.05","856.80","840.60","840.70","849.00","849.45","849.47","2,037.70","821.50",52866024,"44,90,79,44,293.60",475796
09-Mar-2026,EQ,"825.00","842.45","821.50","857.05","839.10","840.70","833.63","2,037.70","821.50",35592613,"29,67,09,87,891.55",420429
06-Mar-2026,EQ,"868.05","871.70","855.10","877.75","857.20","857.05","862.50","2,037.70","848.00",34439647,"29,70,42,05,809.35",706964
05-Mar-2026,EQ,"873.85","881.40","863.50","868.65","875.10","877.75","873.44","2,037.70","848.00",31324582,"27,36,00,19,475.00",281674
05-Mar-2026,BL,"868.65","868.65","868.65","992.45","868.65","868.65","868.65","1,983.00","868.65",706962,"61,41,02,541.30",1
04-Mar-2026,EQ,"848.00","879.30","848.00","879.40","869.00","868.65","866.00","2,037.70","848.00",39862322,"34,52,08,91,227.90",456224
02-Mar-2026,EQ,"876.20","887.75","871.55","887.75","882.10","879.40","879.38","2,037.70","871.55",38378924,"33,74,97,54,117.70",401981
27-Feb-2026,EQ,"898.60","898.95","885.00","898.60","887.45","887.75","889.69","2,037.70","885.00",34620755,"30,80,16,52,275.45",411801
26-Feb-2026,EQ,"912.00","912.00","895.00","907.60","896.00","898.60","901.32","2,037.70","895.00",41165937,"37,10,36,36,109.45",502649
25-Feb-2026,EQ,"910.55","916.00","903.10","910.50","907.40","907.60","909.00","2,037.70","901.00",27884303,"25,34,69,43,106.45",323744
24-Feb-2026,EQ,"927.95","927.95","909.15","923.60","911.50","910.50","915.33","2,037.70","901.00",31313985,"28,66,25,10,212.40",298283
23-Feb-2026,EQ,"916.50","925.65","915.25","911.85","924.10","923.60","921.17","2,037.70","901.00",23270122,"21,43,56,60,334.00",228672
20-Feb-2026,EQ,"911.00","917.85","908.40","915.60","913.15","911.85","913.52","2,037.70","901.00",22654907,"20,69,58,10,498.85",295931
19-Feb-2026,EQ,"929.00","929.20","912.45","924.70","914.30","915.60","918.86","2,037.70","901.00",21209234,"19,48,82,60,011.45",297364
18-Feb-2026,EQ,"923.20","925.50","919.55","925.70","923.70","924.70","922.79","2,037.70","901.00",12738702,"11,75,51,17,113.45",217327
17-Feb-2026,EQ,"923.00","928.10","918.60","925.80","926.45","925.70","925.32","2,037.70","901.00",22599629,"20,91,18,78,079.60",337196
16-Feb-2026,EQ,"903.90","929.50","902.10","903.90","925.50","925.80","922.18","2,037.70","901.00",18806989,"17,34,35,14,574.60",309517
13-Feb-2026,EQ,"913.00","928.20","901.00","920.60","903.90","903.90","912.26","2,037.70","901.00",50188359,"45,78,48,29,506.25",361977
12-Feb-2026,EQ,"927.00","928.60","918.50","927.10","919.75","920.60","922.37","2,037.70","905.00",33872203,"31,24,26,14,792.65",425115
11-Feb-2026,EQ,"931.25","936.00","925.30","932.40","926.80","927.10","928.91","2,037.70","905.00",24869804,"23,10,17,39,084.15",368828
10-Feb-2026,EQ,"930.00","940.90","929.95","937.25","932.60","932.40","933.93","2,037.70","905.00",31525385,"29,44,26,15,462.90",408707
09-Feb-2026,EQ,"945.00","950.00","935.35","941.10","938.80","937.25","938.27","2,037.70","905.00",23947829,"22,46,95,73,398.45",274371
06-Feb-2026,EQ,"945.00","948.10","937.60","949.70","941.00","941.10","941.73","2,037.70","905.00",18120272,"17,06,43,39,108.70",423858
05-Feb-2026,EQ,"956.00","956.05","946.70","953.10","949.70","949.70","950.22","2,037.70","905.00",28103169,"26,70,43,14,508.90",372775
04-Feb-2026,EQ,"952.50","957.20","947.95","948.70","949.00","953.10","952.91","2,037.70","905.00",24366770,"23,21,94,30,282.65",251099
03-Feb-2026,EQ,"983.75","994.00","945.00","928.10","947.65","948.70","954.45","2,037.70","905.00",50336968,"48,04,39,34,757.85",490165
02-Feb-2026,EQ,"915.00","929.80","909.30","922.10","928.10","928.10","924.14","2,037.70","905.00",28032106,"25,90,55,16,822.80",387552
01-Feb-2026,EQ,"932.00","939.65","912.65","929.25","918.05","922.10","929.20","2,037.70","905.00",9856486,"9,15,86,89,990.90",146417
30-Jan-2026,EQ,"930.00","938.90","927.75","935.50","929.00","929.25","931.84","2,037.70","905.00",29691233,"27,66,73,70,875.05",251637
29-Jan-2026,EQ,"930.10","939.30","924.35","932.70","935.00","935.50","933.24","2,037.70","905.00",37175628,"34,69,37,41,736.20",420812
28-Jan-2026,EQ,"932.50","941.45","928.40","926.40","932.40","932.70","934.95","2,037.70","905.00",35347138,"33,04,77,87,224.50",272519
27-Jan-2026,EQ,"906.00","931.20","905.00","916.10","928.00","926.40","917.11","2,037.70","905.00",44753093,"41,04,34,45,636.30",483204
23-Jan-2026,EQ,"920.00","926.10","909.25","918.70","915.80","916.10","916.45","2,037.70","909.25",30985247,"28,39,64,80,018.55",335766
22-Jan-2026,EQ,"928.00","928.30","913.20","920.35","921.00","918.70","918.56","2,037.70","913.20",44444755,"40,82,53,01,054.65",572341
21-Jan-2026,EQ,"925.00","932.15","915.50","931.20","921.00","920.35","924.64","2,037.70","915.50",32766854,"30,29,75,28,335.75",351406
20-Jan-2026,EQ,"929.30","934.50","919.60","927.90","930.50","931.20","930.12","2,037.70","919.20",36022727,"33,50,55,44,795.30",357134
19-Jan-2026,EQ,"935.90","936.15","919.50","931.10","925.95","927.90","927.58","2,037.70","919.20",38191942,"35,42,60,72,965.65",432335
16-Jan-2026,EQ,"922.00","935.95","919.20","925.45","930.55","931.10","929.18","2,037.70","919.20",37780235,"35,10,44,52,366.25",361119
14-Jan-2026,EQ,"930.00","940.05","920.20","937.35","925.00","925.45","929.85","2,037.70","920.20",36688248,"34,11,44,24,012.75",306076
13-Jan-2026,EQ,"947.70","947.70","932.60","936.95","934.75","937.35","940.27","2,037.70","929.60",32042827,"30,12,90,21,006.45",348726
12-Jan-2026,EQ,"937.50","942.00","929.60","939.00","936.40","936.95","936.87","2,037.70","929.60",21071666,"19,74,13,46,998.05",282222
