DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
08-Apr-2026,EQ,"1,349.00","1,350.60","1,326.20","1,304.60","1,349.40","1,347.80","1,343.02","1,611.80","1,114.85",21817543,"29,30,14,22,736.40",434059
07-Apr-2026,EQ,"1,295.00","1,308.30","1,291.00","1,304.70","1,307.30","1,304.60","1,298.73","1,611.80","1,114.85",28388922,"36,86,96,41,751.60",364146
06-Apr-2026,EQ,"1,359.00","1,359.00","1,290.00","1,350.50","1,306.00","1,304.70","1,306.37","1,611.80","1,114.85",29274881,"38,24,37,83,551.00",584670
02-Apr-2026,EQ,"1,357.00","1,358.20","1,328.00","1,369.20","1,350.90","1,350.50","1,346.65","1,611.80","1,114.85",21280051,"28,65,68,73,097.20",335321
01-Apr-2026,EQ,"1,384.20","1,384.40","1,362.90","1,343.90","1,369.50","1,369.20","1,372.02","1,611.80","1,114.85",14404619,"19,76,33,87,955.30",241179
30-Mar-2026,EQ,"1,335.00","1,365.00","1,334.10","1,348.10","1,348.30","1,343.90","1,347.25","1,611.80","1,114.85",24393861,"32,86,45,44,984.70",426526
27-Mar-2026,EQ,"1,401.00","1,404.70","1,345.00","1,413.10","1,348.00","1,348.10","1,359.97","1,611.80","1,114.85",23266517,"31,64,17,34,742.50",546051
25-Mar-2026,EQ,"1,420.00","1,430.50","1,408.40","1,411.80","1,413.80","1,413.10","1,418.75","1,611.80","1,114.85",19041331,"27,01,49,40,455.50",313024
24-Mar-2026,EQ,"1,420.00","1,422.40","1,406.60","1,407.80","1,414.00","1,411.80","1,413.20","1,611.80","1,114.85",18620893,"26,31,50,89,062.40",304313
23-Mar-2026,EQ,"1,400.00","1,415.60","1,391.00","1,414.40","1,404.00","1,407.80","1,404.46","1,611.80","1,114.85",18979554,"26,65,59,71,496.80",385355
20-Mar-2026,EQ,"1,398.00","1,430.00","1,396.10","1,384.80","1,413.60","1,414.40","1,418.94","1,611.80","1,114.85",22994918,"32,62,84,66,606.50",315139
19-Mar-2026,EQ,"1,388.00","1,415.70","1,376.10","1,408.10","1,392.00","1,384.80","1,394.72","1,611.80","1,114.85",16498373,"23,01,06,87,830.50",305792
18-Mar-2026,EQ,"1,397.20","1,412.90","1,397.20","1,397.60","1,407.20","1,408.10","1,408.59","1,611.80","1,114.85",9559327,"13,46,51,78,867.70",212371
17-Mar-2026,EQ,"1,399.00","1,405.90","1,388.20","1,395.10","1,394.80","1,397.60","1,398.21","1,611.80","1,114.85",19007744,"26,57,68,82,526.60",273340
16-Mar-2026,EQ,"1,380.00","1,397.30","1,363.50","1,380.70","1,394.00","1,395.10","1,384.52","1,611.80","1,114.85",22837802,"31,61,93,78,231.50",293132
13-Mar-2026,EQ,"1,385.20","1,400.80","1,378.40","1,392.20","1,382.10","1,380.70","1,388.25","1,611.80","1,114.85",17265090,"23,96,82,36,254.70",315335
12-Mar-2026,EQ,"1,390.00","1,410.90","1,381.10","1,390.20","1,390.00","1,392.20","1,397.56","1,611.80","1,114.85",20939959,"29,26,48,77,793.70",370385
11-Mar-2026,EQ,"1,424.90","1,434.00","1,383.60","1,408.80","1,386.80","1,390.20","1,402.95","1,611.80","1,114.85",21848087,"30,65,16,92,543.40",358595
10-Mar-2026,EQ,"1,430.60","1,431.50","1,400.60","1,424.00","1,410.90","1,408.80","1,410.92","1,611.80","1,114.85",18071259,"25,49,71,67,382.50",266712
09-Mar-2026,EQ,"1,375.00","1,429.40","1,370.00","1,404.80","1,418.60","1,424.00","1,404.08","1,611.80","1,114.85",24870822,"34,92,05,85,822.30",363998
06-Mar-2026,EQ,"1,396.50","1,424.30","1,390.30","1,389.40","1,407.00","1,404.80","1,412.87","1,611.80","1,114.85",19311971,"27,28,52,57,299.50",291792
05-Mar-2026,EQ,"1,353.10","1,399.00","1,353.10","1,345.00","1,386.40","1,389.40","1,383.03","1,611.80","1,114.85",25957532,"35,89,99,97,226.10",339169
04-Mar-2026,EQ,"1,330.00","1,352.80","1,307.00","1,358.00","1,345.20","1,345.00","1,334.60","1,611.80","1,114.85",32495007,"43,36,79,43,821.30",643399
02-Mar-2026,EQ,"1,375.50","1,378.60","1,341.50","1,393.90","1,360.00","1,358.00","1,358.19","1,611.80","1,114.85",23728722,"32,22,81,24,369.60",384813
27-Feb-2026,EQ,"1,398.00","1,410.40","1,388.10","1,406.80","1,394.90","1,393.90","1,397.46","1,611.80","1,114.85",12031440,"16,81,35,12,507.20",195405
26-Feb-2026,EQ,"1,398.50","1,412.90","1,391.90","1,398.50","1,409.00","1,406.80","1,404.01","1,611.80","1,114.85",16683858,"23,42,42,95,896.50",242404
25-Feb-2026,EQ,"1,435.00","1,440.50","1,393.50","1,428.80","1,400.80","1,398.50","1,414.07","1,611.80","1,114.85",10728792,"15,17,13,07,392.70",204165
24-Feb-2026,EQ,"1,425.30","1,433.30","1,415.00","1,428.00","1,431.10","1,428.80","1,424.96","1,611.80","1,114.85",12529409,"17,85,39,17,144.10",196324
23-Feb-2026,EQ,"1,425.00","1,434.90","1,418.30","1,419.40","1,425.00","1,428.00","1,425.50","1,611.80","1,114.85",7758856,"11,06,02,70,073.70",140217
20-Feb-2026,EQ,"1,409.50","1,427.40","1,406.10","1,409.50","1,419.10","1,419.40","1,420.00","1,611.80","1,114.85",8177670,"11,61,22,83,011.40",161489
19-Feb-2026,EQ,"1,443.00","1,443.00","1,400.00","1,441.30","1,407.20","1,409.50","1,415.94","1,611.80","1,114.85",11884664,"16,82,79,34,160.10",221944
18-Feb-2026,EQ,"1,427.00","1,442.10","1,419.20","1,423.00","1,441.00","1,441.30","1,432.14","1,611.80","1,114.85",5521096,"7,90,69,56,447.40",121784
17-Feb-2026,EQ,"1,431.10","1,431.80","1,418.60","1,437.10","1,424.20","1,423.00","1,423.10","1,611.80","1,114.85",10731630,"15,27,21,75,589.40",189670
16-Feb-2026,EQ,"1,420.10","1,439.60","1,409.30","1,419.60","1,434.10","1,437.10","1,426.07","1,611.80","1,114.85",5896514,"8,40,88,65,413.30",160094
13-Feb-2026,EQ,"1,445.50","1,450.70","1,416.30","1,448.90","1,418.60","1,419.60","1,423.73","1,611.80","1,114.85",10755693,"15,31,32,21,949.70",182348
12-Feb-2026,EQ,"1,470.00","1,473.00","1,445.50","1,468.70","1,449.90","1,448.90","1,453.64","1,611.80","1,114.85",11135399,"16,18,68,60,274.50",195451
11-Feb-2026,EQ,"1,459.60","1,470.00","1,453.60","1,458.50","1,469.00","1,468.70","1,465.14","1,611.80","1,114.85",7106877,"10,41,25,35,997.80",200342
10-Feb-2026,EQ,"1,471.00","1,471.00","1,452.20","1,461.60","1,456.20","1,458.50","1,459.23","1,611.80","1,114.85",10259630,"14,97,11,96,098.30",181163
09-Feb-2026,EQ,"1,458.00","1,465.90","1,453.00","1,450.80","1,461.20","1,461.60","1,462.26","1,611.80","1,114.85",5775864,"8,44,58,11,902.30",127171
06-Feb-2026,EQ,"1,441.50","1,452.80","1,433.50","1,443.40","1,451.00","1,450.80","1,442.78","1,611.80","1,114.85",8277304,"11,94,23,66,313.00",133331
05-Feb-2026,EQ,"1,457.00","1,461.50","1,439.50","1,456.80","1,441.90","1,443.40","1,444.91","1,611.80","1,114.85",11763658,"16,99,74,46,034.90",206465
04-Feb-2026,EQ,"1,444.00","1,464.00","1,440.30","1,437.10","1,455.40","1,456.80","1,455.35","1,611.80","1,114.85",8333387,"12,12,79,57,783.70",189873
03-Feb-2026,EQ,"1,473.90","1,489.50","1,430.20","1,390.40","1,438.00","1,437.10","1,445.70","1,611.80","1,114.85",25456171,"36,80,20,06,349.10",360494
02-Feb-2026,EQ,"1,340.00","1,392.90","1,335.50","1,347.00","1,388.00","1,390.40","1,373.27","1,611.80","1,114.85",15711165,"21,57,56,43,258.50",379997
01-Feb-2026,EQ,"1,396.00","1,411.00","1,335.00","1,395.40","1,342.80","1,347.00","1,377.13","1,611.80","1,114.85",9714528,"13,37,81,45,108.70",236369
30-Jan-2026,EQ,"1,382.60","1,398.00","1,378.50","1,391.00","1,397.00","1,395.40","1,391.25","1,611.80","1,114.85",11239835,"15,63,74,18,399.50",159638
29-Jan-2026,EQ,"1,402.90","1,402.90","1,384.00","1,396.70","1,386.90","1,391.00","1,393.55","1,611.80","1,114.85",20846683,"29,05,08,18,209.00",295986
28-Jan-2026,EQ,"1,385.00","1,409.90","1,384.90","1,380.50","1,398.50","1,396.70","1,396.85","1,611.80","1,114.85",11121657,"15,53,53,35,257.60",209556
27-Jan-2026,EQ,"1,380.00","1,391.60","1,368.00","1,386.10","1,384.00","1,380.50","1,381.87","1,611.80","1,114.85",26302396,"36,34,65,67,203.10",337571
23-Jan-2026,EQ,"1,401.80","1,407.00","1,381.00","1,402.50","1,387.00","1,386.10","1,391.32","1,611.80","1,114.85",9837802,"13,68,75,60,136.70",263283
22-Jan-2026,EQ,"1,410.10","1,419.50","1,395.00","1,404.60","1,404.10","1,402.50","1,403.80","1,611.80","1,114.85",15721693,"22,07,01,50,220.10",391641
21-Jan-2026,EQ,"1,389.50","1,412.90","1,373.00","1,394.00","1,407.50","1,404.60","1,399.14","1,611.80","1,114.85",17352720,"24,27,89,65,746.30",412452
20-Jan-2026,EQ,"1,410.70","1,416.00","1,390.00","1,413.60","1,392.40","1,394.00","1,401.05","1,611.80","1,114.85",13189498,"18,47,91,64,578.50",382470
19-Jan-2026,EQ,"1,450.60","1,450.60","1,403.30","1,457.90","1,413.20","1,413.60","1,415.36","1,611.80","1,114.85",20392765,"28,86,31,28,634.10",569720
16-Jan-2026,EQ,"1,458.80","1,480.00","1,455.10","1,458.80","1,461.00","1,457.90","1,464.15","1,611.80","1,114.85",17167161,"25,13,52,47,618.00",289037
14-Jan-2026,EQ,"1,444.00","1,467.00","1,440.20","1,452.80","1,458.80","1,458.80","1,458.22","1,611.80","1,114.85",8321764,"12,13,49,50,551.20",167816
13-Jan-2026,EQ,"1,485.00","1,485.80","1,444.70","1,483.20","1,456.90","1,452.80","1,457.67","1,611.80","1,114.85",13499760,"19,67,81,31,155.40",289198
12-Jan-2026,EQ,"1,475.30","1,485.30","1,451.00","1,475.30","1,484.00","1,483.20","1,469.79","1,611.80","1,114.85",8883745,"13,05,72,59,395.40",236827
09-Jan-2026,EQ,"1,465.00","1,479.90","1,465.00","1,470.60","1,476.00","1,475.30","1,472.13","1,611.80","1,114.85",8335311,"12,27,06,72,520.90",237412
