symbol,time,open,high,low,close,volume
HDFCBANK,2025-10-13 09:15:00,1651.43,1651.85,1648.59,1652.86,115692
HDFCBANK,2025-10-13 09:20:00,1648.21,1648.43,1647.22,1649.45,84067
HDFCBANK,2025-10-13 09:25:00,1653.42,1657.69,1648.61,1656.54,72882
HDFCBANK,2025-10-13 09:30:00,1656.33,1658.11,1654.25,1653.89,115270
HDFCBANK,2025-10-13 09:35:00,1657.66,1663.7,1656.32,1656.55,164154
HDFCBANK,2025-10-13 09:40:00,1651.49,1652.23,1647.48,1650.95,67406
HDFCBANK,2025-10-13 09:45:00,1652.42,1653.81,1652.35,1651.74,74908
HDFCBANK,2025-10-13 09:50:00,1652.36,1653.88,1652.07,1654.65,53075
HDFCBANK,2025-10-13 09:55:00,1648.74,1650.01,1647.71,1647.28,88591
HDFCBANK,2025-10-13 10:00:00,1648.6,1649.81,1648.28,1648.9,189327
HDFCBANK,2025-10-13 10:05:00,1650.19,1651.41,1648.82,1648.41,121926
HDFCBANK,2025-10-13 10:10:00,1654.06,1655.16,1653.37,1653.11,174139
HDFCBANK,2025-10-13 10:15:00,1664.83,1666.64,1661.7,1663.23,104846
HDFCBANK,2025-10-13 10:20:00,1666.12,1674.21,1665.73,1666.1,101972
HDFCBANK,2025-10-13 10:25:00,1664.38,1668.68,1663.92,1666.03,82992
HDFCBANK,2025-10-13 10:30:00,1658.53,1661.02,1656.93,1658.29,87580
HDFCBANK,2025-10-13 10:35:00,1658.03,1658.29,1657.75,1657.63,123201
HDFCBANK,2025-10-13 10:40:00,1654.3,1656.92,1652.6,1654.21,130856
HDFCBANK,2025-10-13 10:45:00,1655.68,1656.88,1653.7,1654.01,63095
HDFCBANK,2025-10-13 10:50:00,1656.96,1657.44,1655.43,1656.93,165301
HDFCBANK,2025-10-13 10:55:00,1663.9,1668.24,1661.34,1664.22,100445
HDFCBANK,2025-10-13 11:00:00,1667.45,1672.74,1667.18,1666.27,199643
HDFCBANK,2025-10-13 11:05:00,1666.51,1668.33,1664.73,1664.08,109792
HDFCBANK,2025-10-13 11:10:00,1672.36,1673.43,1667.29,1672.46,128191
