symbol,time,open,high,low,close,volume
TCS,2025-10-13 09:15:00,3499.39,3514.84,3494.52,3498.3,111737
TCS,2025-10-13 09:20:00,3493.73,3503.35,3481.64,3496.64,189117
TCS,2025-10-13 09:25:00,3500.79,3501.83,3499.91,3499.59,101406
TCS,2025-10-13 09:30:00,3494.94,3501.37,3479.8,3500.75,193836
TCS,2025-10-13 09:35:00,3499.93,3500.62,3487.74,3504.21,183894
TCS,2025-10-13 09:40:00,3491.92,3501.08,3485.55,3490.85,107053
TCS,2025-10-13 09:45:00,3498.89,3503.2,3492.85,3501.15,182557
TCS,2025-10-13 09:50:00,3500.24,3501.9,3498.17,3503.4,127773
TCS,2025-10-13 09:55:00,3502.5,3519.07,3490.46,3502.82,132367
TCS,2025-10-13 10:00:00,3493.95,3500.03,3491.46,3496.37,191051
TCS,2025-10-13 10:05:00,3488.26,3491.09,3467.82,3485.53,140338
TCS,2025-10-13 10:10:00,3490.36,3494.95,3486.07,3492.25,136522
TCS,2025-10-13 10:15:00,3486.41,3491.72,3485.45,3487.5,144438
TCS,2025-10-13 10:20:00,3492.55,3493.92,3485.97,3497.54,68842
TCS,2025-10-13 10:25:00,3484.82,3488.33,3481.15,3483.53,145765
TCS,2025-10-13 10:30:00,3482.9,3484.27,3470.65,3474.31,55024
TCS,2025-10-13 10:35:00,3491.27,3505.6,3485.73,3490.83,159265
TCS,2025-10-13 10:40:00,3497.67,3499.63,3488.81,3490.07,134955
TCS,2025-10-13 10:45:00,3501.47,3509.71,3496.81,3500.26,113768
TCS,2025-10-13 10:50:00,3495.61,3502.01,3480.11,3494.9,168009
TCS,2025-10-13 10:55:00,3487.06,3488.5,3482.89,3486.12,155096
TCS,2025-10-13 11:00:00,3481.59,3487.08,3477.66,3482.32,128662
TCS,2025-10-13 11:05:00,3489.49,3492.48,3482.57,3489.93,125135
TCS,2025-10-13 11:10:00,3495.19,3503.78,3495.01,3500.46,150421
TCS,2025-10-13 11:15:00,3498.01,3501.29,3489.44,3498.26,67161
TCS,2025-10-13 11:20:00,3491.28,3496.99,3485.7,3488.93,103778
TCS,2025-10-13 11:25:00,3485.45,3485.53,3478.11,3486.82,99291
