symbol,time,open,high,low,close,volume
NIFTY50,2025-10-13 03:45:00+00:00,23478.32,23478.39,23405.14,23479.7,161055
NIFTY50,2025-10-13 03:50:00+00:00,23421.35,23485.77,23373.07,23430.6,69481
NIFTY50,2025-10-13 03:55:00+00:00,23391.8,23430.78,23321.0,23383.73,126477
NIFTY50,2025-10-13 04:00:00+00:00,23401.11,23463.0,23362.75,23402.1,192886
NIFTY50,2025-10-13 04:05:00+00:00,23364.55,23384.21,23355.34,23348.19,185720
NIFTY50,2025-10-13 04:10:00+00:00,23284.54,23318.35,23280.24,23270.35,119910
NIFTY50,2025-10-13 04:15:00+00:00,23237.49,23290.04,23211.19,23221.63,64526
NIFTY50,2025-10-13 04:20:00+00:00,23216.04,23235.23,23175.46,23260.67,114219
NIFTY50,2025-10-13 04:25:00+00:00,23257.84,23290.88,23211.71,23274.58,199081
NIFTY50,2025-10-13 04:30:00+00:00,23247.31,23266.31,23246.06,23232.28,87189
NIFTY50,2025-10-13 04:35:00+00:00,23245.63,23271.94,23234.78,23247.11,76881
NIFTY50,2025-10-13 04:40:00+00:00,23311.39,23355.93,23303.8,23312.27,161322
NIFTY50,2025-10-13 04:45:00+00:00,23280.61,23292.39,23253.39,23311.01,175337
NIFTY50,2025-10-13 04:50:00+00:00,23224.61,23254.56,23190.06,23213.16,155623
NIFTY50,2025-10-13 04:55:00+00:00,23182.29,23195.38,23139.41,23206.87,134198
NIFTY50,2025-10-13 05:00:00+00:00,23208.66,23304.6,23145.03,23213.03,59561
NIFTY50,2025-10-13 05:05:00+00:00,23205.33,23253.45,23152.57,23205.44,90888
NIFTY50,2025-10-13 05:10:00+00:00,23248.8,23391.13,23221.76,23234.52,80821
NIFTY50,2025-10-13 05:15:00+00:00,23259.62,23385.2,23216.2,23194.94,98729
NIFTY50,2025-10-13 05:20:00+00:00,23233.78,23280.33,23224.67,23209.97,170915
NIFTY50,2025-10-13 05:25:00+00:00,23202.03,23202.66,23168.79,23186.83,107046
NIFTY50,2025-10-13 05:30:00+00:00,23228.58,23257.02,23227.81,23252.74,80120
NIFTY50,2025-10-13 05:35:00+00:00,23197.54,23235.55,23194.02,23220.33,146012
NIFTY50,2025-10-13 05:40:00+00:00,23168.91,23239.47,23124.81,23162.09,135483
NIFTY50,2025-10-13 05:45:00+00:00,23070.7,23102.17,22973.86,23099.45,101713
NIFTY50,2025-10-13 05:50:00+00:00,23088.62,23124.32,23066.45,23088.32,91309
NIFTY50,2025-10-13 05:55:00+00:00,23136.68,23167.14,23115.52,23157.49,174169
NIFTY50,2025-10-13 06:00:00+00:00,23213.34,23304.18,23167.85,23209.31,137564
NIFTY50,2025-10-13 06:05:00+00:00,23206.56,23253.93,23111.11,23213.26,121412
NIFTY50,2025-10-13 06:10:00+00:00,23297.64,23329.31,23288.28,23274.28,63443
NIFTY50,2025-10-13 06:15:00+00:00,23259.29,23323.77,23231.82,23308.17,77597
NIFTY50,2025-10-13 06:20:00+00:00,23251.1,23296.17,23236.72,23232.67,75974
