symbol,time,open,high,low,close,volume
BANKNIFTY,2025-10-13 03:45:00+00:00,47974.04,48189.8,47965.52,47970.67,118058
BANKNIFTY,2025-10-13 03:50:00+00:00,47938.12,48022.93,47922.18,47934.56,181369
BANKNIFTY,2025-10-13 03:55:00+00:00,47932.58,47973.52,47784.33,47839.28,139092
BANKNIFTY,2025-10-13 04:00:00+00:00,47963.02,47997.74,47884.47,47857.64,131305
BANKNIFTY,2025-10-13 04:05:00+00:00,48040.13,48110.23,47877.3,48028.46,164664
BANKNIFTY,2025-10-13 04:10:00+00:00,48167.99,48252.34,48166.7,48226.31,179766
BANKNIFTY,2025-10-13 04:15:00+00:00,48072.68,48120.44,47825.59,48076.16,86667
BANKNIFTY,2025-10-13 04:20:00+00:00,48147.19,48211.08,47929.72,48223.49,191202
BANKNIFTY,2025-10-13 04:25:00+00:00,48210.6,48269.37,48076.41,48252.63,76126
BANKNIFTY,2025-10-13 04:30:00+00:00,48334.82,48446.88,48243.88,48319.59,122691
BANKNIFTY,2025-10-13 04:35:00+00:00,48281.85,48383.28,48098.54,48238.45,173761
BANKNIFTY,2025-10-13 04:40:00+00:00,48490.79,48496.31,48355.23,48485.18,145421
BANKNIFTY,2025-10-13 04:45:00+00:00,48455.05,48470.33,48348.77,48499.64,171608
BANKNIFTY,2025-10-13 04:50:00+00:00,48376.96,48405.81,48279.54,48315.12,140324
BANKNIFTY,2025-10-13 04:55:00+00:00,48522.01,48637.89,48483.1,48499.84,196155
BANKNIFTY,2025-10-13 05:00:00+00:00,48373.14,48418.44,48245.01,48375.94,118546
BANKNIFTY,2025-10-13 05:05:00+00:00,48449.05,48543.36,48405.29,48417.43,129502
BANKNIFTY,2025-10-13 05:10:00+00:00,48417.06,48465.23,48385.75,48419.13,83641
BANKNIFTY,2025-10-13 05:15:00+00:00,48529.29,48730.06,48486.59,48461.89,197972
BANKNIFTY,2025-10-13 05:20:00+00:00,48632.29,48778.76,48421.36,48660.23,54370
BANKNIFTY,2025-10-13 05:25:00+00:00,48607.88,48609.98,48543.54,48535.33,167108
BANKNIFTY,2025-10-13 05:30:00+00:00,48461.3,48492.98,48321.12,48572.02,56368
BANKNIFTY,2025-10-13 05:35:00+00:00,48408.56,48416.02,48356.63,48431.9,65288
BANKNIFTY,2025-10-13 05:40:00+00:00,48271.91,48293.98,48143.68,48243.93,166821
BANKNIFTY,2025-10-13 05:45:00+00:00,48306.18,48415.91,48298.81,48358.6,131740
BANKNIFTY,2025-10-13 05:50:00+00:00,48263.17,48354.88,48147.72,48281.2,58122
BANKNIFTY,2025-10-13 05:55:00+00:00,48260.94,48295.56,48233.77,48271.54,89033
BANKNIFTY,2025-10-13 06:00:00+00:00,48263.62,48275.53,48182.79,48288.39,56576
BANKNIFTY,2025-10-13 06:05:00+00:00,48273.11,48469.59,48234.17,48335.88,94147
BANKNIFTY,2025-10-13 06:10:00+00:00,48234.75,48261.16,48158.7,48292.17,134613
BANKNIFTY,2025-10-13 06:15:00+00:00,48147.49,48357.0,47956.79,48145.71,57661
BANKNIFTY,2025-10-13 06:20:00+00:00,48124.33,48138.86,48054.48,48081.76,57307
BANKNIFTY,2025-10-13 06:25:00+00:00,48253.13,48313.75,48055.54,48290.23,143080
BANKNIFTY,2025-10-13 06:30:00+00:00,48232.28,48373.88,48196.69,48250.55,119651
BANKNIFTY,2025-10-13 06:35:00+00:00,48167.95,48216.09,48148.01,48182.38,82316
BANKNIFTY,2025-10-13 06:40:00+00:00,48226.9,48253.49,48217.84,48192.97,155922
BANKNIFTY,2025-10-13 06:45:00+00:00,48252.31,48315.19,48178.49,48185.58,82342
BANKNIFTY,2025-10-13 06:50:00+00:00,48256.08,48290.38,48185.87,48245.09,169776
BANKNIFTY,2025-10-13 06:55:00+00:00,48265.27,48472.31,48177.98,48319.0,98740
BANKNIFTY,2025-10-13 07:00:00+00:00,48151.42,48206.86,48101.01,48123.7,197775
BANKNIFTY,2025-10-13 07:05:00+00:00,48218.97,48264.02,48134.01,48176.3,166244
BANKNIFTY,2025-10-13 07:10:00+00:00,47982.32,48018.59,47888.55,47953.86,129948
