symbol,time,open,high,low,close,volume
ICICIBANK,2025-10-13 03:45:00+00:00,1098.86,1099.45,1097.71,1097.84,181874
ICICIBANK,2025-10-13 03:50:00+00:00,1097.38,1099.27,1095.06,1098.17,164999
ICICIBANK,2025-10-13 03:55:00+00:00,1100.14,1100.93,1099.15,1099.06,153732
ICICIBANK,2025-10-13 04:00:00+00:00,1101.88,1107.06,1101.85,1101.85,79227
ICICIBANK,2025-10-13 04:05:00+00:00,1101.38,1104.08,1097.58,1101.07,180427
ICICIBANK,2025-10-13 04:10:00+00:00,1099.62,1102.12,1097.45,1097.66,138410
ICICIBANK,2025-10-13 04:15:00+00:00,1099.84,1099.9,1098.19,1098.4,153129
ICICIBANK,2025-10-13 04:20:00+00:00,1096.7,1097.82,1095.91,1095.0,58554
ICICIBANK,2025-10-13 04:25:00+00:00,1095.17,1098.1,1093.33,1094.45,90310
ICICIBANK,2025-10-13 04:30:00+00:00,1097.07,1099.41,1096.61,1096.48,155824
ICICIBANK,2025-10-13 04:35:00+00:00,1095.17,1096.18,1093.86,1095.44,52548
ICICIBANK,2025-10-13 04:40:00+00:00,1091.41,1091.47,1090.0,1091.29,66386
ICICIBANK,2025-10-13 04:45:00+00:00,1088.29,1091.93,1087.61,1087.52,192091
ICICIBANK,2025-10-13 04:50:00+00:00,1089.73,1090.27,1089.26,1089.35,114504
ICICIBANK,2025-10-13 04:55:00+00:00,1089.41,1092.95,1087.55,1090.37,50463
ICICIBANK,2025-10-13 05:00:00+00:00,1093.95,1095.87,1092.33,1092.56,155823
ICICIBANK,2025-10-13 05:05:00+00:00,1095.23,1098.46,1092.84,1097.67,136926
ICICIBANK,2025-10-13 05:10:00+00:00,1091.52,1093.17,1089.98,1090.7,124184
ICICIBANK,2025-10-13 05:15:00+00:00,1092.06,1093.25,1088.59,1091.52,77023
ICICIBANK,2025-10-13 05:20:00+00:00,1095.8,1096.07,1094.89,1095.98,153582
ICICIBANK,2025-10-13 05:25:00+00:00,1097.56,1099.39,1097.2,1097.61,91353
ICICIBANK,2025-10-13 05:30:00+00:00,1099.14,1102.95,1096.92,1099.33,187796
ICICIBANK,2025-10-13 05:35:00+00:00,1099.53,1100.76,1098.13,1098.33,175842
ICICIBANK,2025-10-13 05:40:00+00:00,1103.17,1103.39,1103.11,1103.88,80555
ICICIBANK,2025-10-13 05:45:00+00:00,1104.15,1104.32,1102.17,1103.2,154223
ICICIBANK,2025-10-13 05:50:00+00:00,1106.43,1107.67,1106.23,1107.17,104816
ICICIBANK,2025-10-13 05:55:00+00:00,1104.44,1105.95,1102.91,1103.96,183022
ICICIBANK,2025-10-13 06:00:00+00:00,1103.11,1103.35,1100.89,1104.83,126286
ICICIBANK,2025-10-13 06:05:00+00:00,1105.32,1109.44,1105.12,1103.72,113799
ICICIBANK,2025-10-13 06:10:00+00:00,1105.03,1108.61,1104.77,1104.53,95200
ICICIBANK,2025-10-13 06:15:00+00:00,1110.0,1110.24,1108.93,1109.37,115258
ICICIBANK,2025-10-13 06:20:00+00:00,1108.63,1111.01,1105.66,1108.39,75608
ICICIBANK,2025-10-13 06:25:00+00:00,1108.69,1109.62,1105.28,1106.58,166970
ICICIBANK,2025-10-13 06:30:00+00:00,1107.65,1109.37,1107.19,1106.71,153797
ICICIBANK,2025-10-13 06:35:00+00:00,1107.52,1108.72,1106.19,1106.84,197332
ICICIBANK,2025-10-13 06:40:00+00:00,1107.17,1107.38,1105.64,1105.52,195477
ICICIBANK,2025-10-13 06:45:00+00:00,1108.9,1111.62,1108.5,1108.38,184549
ICICIBANK,2025-10-13 06:50:00+00:00,1108.22,1109.4,1104.79,1108.31,190447
ICICIBANK,2025-10-13 06:55:00+00:00,1110.74,1113.66,1108.86,1110.98,102150
ICICIBANK,2025-10-13 07:00:00+00:00,1113.27,1113.76,1112.94,1113.39,105658
ICICIBANK,2025-10-13 07:05:00+00:00,1111.9,1115.52,1111.1,1112.32,134880
ICICIBANK,2025-10-13 07:10:00+00:00,1111.21,1113.44,1111.18,1111.54,196590
ICICIBANK,2025-10-13 07:15:00+00:00,1110.2,1114.8,1107.93,1110.41,63425
ICICIBANK,2025-10-13 07:20:00+00:00,1109.68,1111.79,1109.08,1110.19,134117
ICICIBANK,2025-10-13 07:25:00+00:00,1110.82,1111.9,1110.45,1111.79,78709
ICICIBANK,2025-10-13 07:30:00+00:00,1112.3,1113.27,1110.9,1112.14,122588
ICICIBANK,2025-10-13 07:35:00+00:00,1113.74,1118.97,1111.96,1114.37,108379
ICICIBANK,2025-10-13 07:40:00+00:00,1116.55,1120.92,1115.32,1116.69,157326
ICICIBANK,2025-10-13 07:45:00+00:00,1118.61,1119.41,1114.35,1119.28,115254
ICICIBANK,2025-10-13 07:50:00+00:00,1119.6,1121.1,1117.02,1117.32,52284
ICICIBANK,2025-10-13 07:55:00+00:00,1124.04,1125.36,1122.66,1124.36,191520
ICICIBANK,2025-10-13 08:00:00+00:00,1125.57,1126.41,1123.82,1127.15,174036
ICICIBANK,2025-10-13 08:05:00+00:00,1124.5,1126.91,1121.09,1124.76,198256
ICICIBANK,2025-10-13 08:10:00+00:00,1124.08,1126.79,1120.77,1122.62,98675
ICICIBANK,2025-10-13 08:15:00+00:00,1123.72,1125.56,1123.61,1122.42,147848
ICICIBANK,2025-10-13 08:20:00+00:00,1120.92,1122.27,1116.07,1120.3,77664
ICICIBANK,2025-10-13 08:25:00+00:00,1113.58,1118.59,1109.72,1113.26,135309
ICICIBANK,2025-10-13 08:30:00+00:00,1113.56,1115.71,1111.78,1113.21,125990
ICICIBANK,2025-10-13 08:35:00+00:00,1114.61,1116.63,1109.27,1113.83,81330
ICICIBANK,2025-10-13 08:40:00+00:00,1115.83,1119.04,1114.58,1117.27,103273
ICICIBANK,2025-10-13 08:45:00+00:00,1116.25,1117.28,1113.05,1118.43,102895
ICICIBANK,2025-10-13 08:50:00+00:00,1117.4,1117.71,1114.99,1116.73,111862
ICICIBANK,2025-10-13 08:55:00+00:00,1118.0,1118.51,1115.5,1118.36,115435
ICICIBANK,2025-10-13 09:00:00+00:00,1114.16,1116.56,1112.49,1113.36,140241
ICICIBANK,2025-10-13 09:05:00+00:00,1115.27,1117.61,1112.99,1115.13,154908
ICICIBANK,2025-10-13 09:10:00+00:00,1116.57,1117.09,1115.08,1115.78,65598
ICICIBANK,2025-10-13 09:15:00+00:00,1117.42,1118.6,1116.06,1118.91,65460
ICICIBANK,2025-10-13 09:20:00+00:00,1117.32,1118.88,1113.84,1118.17,160886
ICICIBANK,2025-10-13 09:25:00+00:00,1118.6,1121.22,1116.51,1118.95,194459
ICICIBANK,2025-10-13 09:30:00+00:00,1117.33,1120.21,1116.16,1116.68,76707
ICICIBANK,2025-10-13 09:35:00+00:00,1121.32,1121.77,1118.68,1119.9,113139
ICICIBANK,2025-10-13 09:40:00+00:00,1113.23,1113.7,1108.96,1112.46,66978
ICICIBANK,2025-10-13 09:45:00+00:00,1109.1,1114.26,1108.24,1110.23,180219
ICICIBANK,2025-10-13 09:50:00+00:00,1104.55,1107.09,1102.23,1107.04,152042
ICICIBANK,2025-10-13 09:55:00+00:00,1105.24,1105.71,1102.6,1105.53,163298
ICICIBANK,2025-10-13 10:00:00+00:00,1105.49,1106.26,1104.92,1104.26,171880
ICICIBANK,2025-10-14 03:45:00+00:00,1101.44,1103.05,1099.01,1101.99,61704
ICICIBANK,2025-10-14 03:50:00+00:00,1101.16,1102.49,1100.66,1100.73,70983
ICICIBANK,2025-10-14 03:55:00+00:00,1099.41,1101.57,1095.1,1100.28,142187
ICICIBANK,2025-10-14 04:00:00+00:00,1099.85,1102.62,1098.97,1099.37,177043
ICICIBANK,2025-10-14 04:05:00+00:00,1102.88,1102.95,1100.13,1102.1,166080
ICICIBANK,2025-10-14 04:10:00+00:00,1104.7,1106.31,1104.37,1103.21,183137
ICICIBANK,2025-10-14 04:15:00+00:00,1105.07,1106.21,1102.5,1105.07,125138
ICICIBANK,2025-10-14 04:20:00+00:00,1100.12,1100.2,1098.69,1100.01,65466
ICICIBANK,2025-10-14 04:25:00+00:00,1098.54,1103.57,1097.73,1098.62,98646
ICICIBANK,2025-10-14 04:30:00+00:00,1098.45,1099.01,1095.26,1099.2,110038
ICICIBANK,2025-10-14 04:35:00+00:00,1103.09,1106.11,1102.86,1101.85,177968
ICICIBANK,2025-10-14 04:40:00+00:00,1106.73,1107.23,1105.91,1106.44,57641
ICICIBANK,2025-10-14 04:45:00+00:00,1104.69,1105.43,1103.56,1103.54,82305
ICICIBANK,2025-10-14 04:50:00+00:00,1101.95,1103.17,1101.83,1103.57,165800
ICICIBANK,2025-10-14 04:55:00+00:00,1106.97,1107.59,1105.46,1105.67,57350
ICICIBANK,2025-10-14 05:00:00+00:00,1106.3,1107.66,1104.97,1106.23,187411
ICICIBANK,2025-10-14 05:05:00+00:00,1107.54,1107.68,1104.2,1107.99,150943
ICICIBANK,2025-10-14 05:10:00+00:00,1108.54,1110.48,1106.33,1106.99,76605
ICICIBANK,2025-10-14 05:15:00+00:00,1109.61,1112.41,1109.54,1109.63,88891
ICICIBANK,2025-10-14 05:20:00+00:00,1110.9,1113.49,1108.71,1109.83,89225
ICICIBANK,2025-10-14 05:25:00+00:00,1108.01,1108.08,1105.33,1107.25,69984
ICICIBANK,2025-10-14 05:30:00+00:00,1108.43,1108.75,1108.28,1109.17,178276
ICICIBANK,2025-10-14 05:35:00+00:00,1106.38,1109.67,1103.12,1107.67,178118
ICICIBANK,2025-10-14 05:40:00+00:00,1103.95,1104.89,1101.33,1103.21,89894
ICICIBANK,2025-10-14 05:45:00+00:00,1102.57,1103.64,1101.59,1103.2,153150
ICICIBANK,2025-10-14 05:50:00+00:00,1101.99,1102.08,1099.57,1102.48,86262
ICICIBANK,2025-10-14 05:55:00+00:00,1104.92,1106.08,1104.52,1105.25,142698
ICICIBANK,2025-10-14 06:00:00+00:00,1104.19,1104.75,1101.54,1103.12,91946
ICICIBANK,2025-10-14 06:05:00+00:00,1101.95,1105.01,1100.88,1100.75,185452
ICICIBANK,2025-10-14 06:10:00+00:00,1103.31,1104.03,1101.86,1102.79,102641
ICICIBANK,2025-10-14 06:15:00+00:00,1104.14,1104.47,1099.0,1104.89,148150
ICICIBANK,2025-10-14 06:20:00+00:00,1103.68,1103.8,1102.58,1104.28,95952
ICICIBANK,2025-10-14 06:25:00+00:00,1105.79,1108.46,1105.38,1108.84,93588
ICICIBANK,2025-10-14 06:30:00+00:00,1104.66,1105.25,1102.72,1104.45,133074
ICICIBANK,2025-10-14 06:35:00+00:00,1107.63,1110.54,1102.63,1106.7,135905
ICICIBANK,2025-10-14 06:40:00+00:00,1108.45,1113.29,1106.3,1111.34,144303
ICICIBANK,2025-10-14 06:45:00+00:00,1109.04,1110.49,1107.9,1109.44,95007
ICICIBANK,2025-10-14 06:50:00+00:00,1111.88,1112.01,1111.09,1111.46,168118
ICICIBANK,2025-10-14 06:55:00+00:00,1109.45,1112.42,1103.74,1110.39,160090
ICICIBANK,2025-10-14 07:00:00+00:00,1107.16,1108.2,1104.55,1107.29,122464
ICICIBANK,2025-10-14 07:05:00+00:00,1109.65,1110.75,1108.05,1108.32,191256
ICICIBANK,2025-10-14 07:10:00+00:00,1110.33,1112.82,1109.94,1111.61,65499
ICICIBANK,2025-10-14 07:15:00+00:00,1107.07,1111.26,1105.16,1109.02,161942
ICICIBANK,2025-10-14 07:20:00+00:00,1106.93,1110.37,1106.73,1107.01,193544
ICICIBANK,2025-10-14 07:25:00+00:00,1105.29,1106.39,1104.9,1106.64,184349
ICICIBANK,2025-10-14 07:30:00+00:00,1103.15,1103.33,1102.44,1103.7,199702
ICICIBANK,2025-10-14 07:35:00+00:00,1105.27,1106.28,1101.49,1107.47,53751
ICICIBANK,2025-10-14 07:40:00+00:00,1105.54,1106.1,1101.27,1105.51,181130
ICICIBANK,2025-10-14 07:45:00+00:00,1101.99,1104.89,1100.14,1101.14,54307
ICICIBANK,2025-10-14 07:50:00+00:00,1102.73,1105.08,1099.8,1103.88,92565
ICICIBANK,2025-10-14 07:55:00+00:00,1101.92,1102.98,1101.61,1103.17,53167
ICICIBANK,2025-10-14 08:00:00+00:00,1102.23,1102.75,1101.79,1101.42,140247
ICICIBANK,2025-10-14 08:05:00+00:00,1104.76,1105.45,1103.49,1103.85,157977
ICICIBANK,2025-10-14 08:10:00+00:00,1105.29,1106.7,1102.27,1107.5,152816
ICICIBANK,2025-10-14 08:15:00+00:00,1107.43,1111.32,1106.34,1108.33,192379
ICICIBANK,2025-10-14 08:20:00+00:00,1110.58,1111.45,1109.97,1109.91,73714
ICICIBANK,2025-10-14 08:25:00+00:00,1110.55,1112.26,1109.46,1109.65,83012
ICICIBANK,2025-10-14 08:30:00+00:00,1109.67,1109.78,1107.62,1108.49,62307
ICICIBANK,2025-10-14 08:35:00+00:00,1110.71,1112.49,1109.76,1112.17,149467
ICICIBANK,2025-10-14 08:40:00+00:00,1110.98,1113.93,1109.6,1111.0,100276
ICICIBANK,2025-10-14 08:45:00+00:00,1109.05,1109.41,1108.55,1109.29,158563
ICICIBANK,2025-10-14 08:50:00+00:00,1107.91,1107.93,1105.24,1107.72,169274
