symbol,time,open,high,low,close,volume
RELIANCE,2025-10-13 03:45:00+00:00,2804.24,2810.43,2801.02,2803.65,120306
RELIANCE,2025-10-13 03:50:00+00:00,2809.74,2813.86,2805.23,2806.85,183681
RELIANCE,2025-10-13 03:55:00+00:00,2807.96,2809.12,2805.89,2814.63,72300
RELIANCE,2025-10-13 04:00:00+00:00,2803.56,2806.42,2802.06,2808.14,103713
RELIANCE,2025-10-13 04:05:00+00:00,2811.21,2821.89,2811.15,2809.68,82745
RELIANCE,2025-10-13 04:10:00+00:00,2821.52,2822.57,2818.46,2824.03,195772
RELIANCE,2025-10-13 04:15:00+00:00,2817.85,2822.48,2817.51,2816.44,104212
RELIANCE,2025-10-13 04:20:00+00:00,2810.66,2815.16,2800.95,2803.27,82754
RELIANCE,2025-10-13 04:25:00+00:00,2809.96,2815.43,2801.68,2808.85,195118
RELIANCE,2025-10-13 04:30:00+00:00,2806.4,2809.84,2798.34,2798.75,145369
RELIANCE,2025-10-13 04:35:00+00:00,2804.95,2812.44,2801.35,2803.09,82127
RELIANCE,2025-10-13 04:40:00+00:00,2796.35,2796.6,2786.49,2796.14,89920
RELIANCE,2025-10-13 04:45:00+00:00,2792.67,2797.46,2789.92,2795.06,52313
RELIANCE,2025-10-13 04:50:00+00:00,2800.96,2801.15,2796.35,2803.01,148794
RELIANCE,2025-10-13 04:55:00+00:00,2800.26,2800.53,2798.87,2800.48,99561
RELIANCE,2025-10-13 05:00:00+00:00,2798.51,2808.71,2797.75,2801.45,73936
RELIANCE,2025-10-13 05:05:00+00:00,2805.54,2806.42,2800.79,2807.12,176247
RELIANCE,2025-10-13 05:10:00+00:00,2805.19,2811.77,2800.68,2807.96,150497
RELIANCE,2025-10-13 05:15:00+00:00,2804.31,2808.05,2796.51,2808.26,173281
RELIANCE,2025-10-13 05:20:00+00:00,2795.65,2807.19,2787.12,2797.06,149399
RELIANCE,2025-10-13 05:25:00+00:00,2780.45,2783.15,2777.64,2776.59,81652
RELIANCE,2025-10-13 05:30:00+00:00,2788.09,2790.83,2786.93,2793.89,58546
RELIANCE,2025-10-13 05:35:00+00:00,2800.95,2808.24,2793.23,2802.29,166101
RELIANCE,2025-10-13 05:40:00+00:00,2798.77,2801.37,2789.31,2802.23,161975
RELIANCE,2025-10-13 05:45:00+00:00,2805.87,2807.4,2797.54,2807.69,62718
RELIANCE,2025-10-13 05:50:00+00:00,2815.29,2817.53,2810.53,2818.43,149240
RELIANCE,2025-10-13 05:55:00+00:00,2813.86,2820.27,2810.82,2815.73,153657
RELIANCE,2025-10-13 06:00:00+00:00,2816.7,2817.6,2811.38,2820.5,148753
RELIANCE,2025-10-13 06:05:00+00:00,2822.54,2824.1,2819.05,2817.08,97219
RELIANCE,2025-10-13 06:10:00+00:00,2821.22,2822.25,2813.73,2818.88,154511
RELIANCE,2025-10-13 06:15:00+00:00,2836.27,2846.03,2835.71,2837.4,97685
RELIANCE,2025-10-13 06:20:00+00:00,2841.03,2845.88,2838.39,2841.03,133320
