time,symbol,exchange,interval,open,high,low,close,volume
2026-01-16 15:25:00,NIFTY50,NSE,5m,23797.74,23845.64,23735.62,23800.0,1094284
2026-01-16 15:20:00,NIFTY50,NSE,5m,23765.65,23794.84,23762.28,23785.93,911708
2026-01-16 15:15:00,NIFTY50,NSE,5m,23860.36,23898.29,23852.66,23865.33,985238
2026-01-16 15:10:00,NIFTY50,NSE,5m,24051.49,24072.98,24042.2,24049.46,1114092
2026-01-16 15:05:00,NIFTY50,NSE,5m,23985.57,24052.01,23978.75,24023.71,1407574
2026-01-16 15:00:00,NIFTY50,NSE,5m,23950.12,24014.99,23943.1,23997.99,1162493
2026-01-16 14:55:00,NIFTY50,NSE,5m,24187.46,24213.47,24137.9,24189.88,1591843
2026-01-16 14:50:00,NIFTY50,NSE,5m,24253.63,24305.28,24234.9,24285.12,1440121
2026-01-16 14:45:00,NIFTY50,NSE,5m,24229.92,24233.11,24203.84,24230.54,1365309
2026-01-16 14:40:00,NIFTY50,NSE,5m,24309.76,24311.07,24245.7,24298.69,1359962
2026-01-16 14:35:00,NIFTY50,NSE,5m,24221.07,24280.82,24213.9,24244.82,1038127
2026-01-16 14:30:00,NIFTY50,NSE,5m,24150.59,24195.0,24117.08,24190.79,590065
2026-01-16 14:25:00,NIFTY50,NSE,5m,24282.82,24310.7,24193.52,24222.47,1039655
2026-01-16 14:20:00,NIFTY50,NSE,5m,23953.87,23998.68,23950.64,23993.17,1255443
2026-01-16 14:15:00,NIFTY50,NSE,5m,23796.98,23808.17,23777.65,23788.64,712307
2026-01-16 14:10:00,NIFTY50,NSE,5m,23671.45,23765.56,23655.35,23724.14,572163
2026-01-16 14:05:00,NIFTY50,NSE,5m,23612.17,23631.75,23575.43,23606.37,1488681
2026-01-16 14:00:00,NIFTY50,NSE,5m,23706.07,23721.86,23634.27,23645.82,1130288
2026-01-16 13:55:00,NIFTY50,NSE,5m,23577.58,23580.97,23482.96,23540.83,1001781
2026-01-16 13:50:00,NIFTY50,NSE,5m,23415.78,23417.1,23358.51,23376.95,1095877
2026-01-16 13:45:00,NIFTY50,NSE,5m,23547.97,23578.69,23536.51,23550.6,865358
2026-01-16 13:40:00,NIFTY50,NSE,5m,23579.96,23581.2,23514.41,23526.37,801127
